TRTID10,decade,R_VAC,HU_ln,P_NONWHT,a_hinc
39035101101,1970,36,6.453624999,0.0119372,4.3645975
39035101101,1980,79,7.818027939,0.035801268,5.594060437
39035101101,1990,243,7.546446274,0.759725098,2.070794464
39035101101,2000,257,7.492203043,0.752947475,2.712372158
39035101101,2010,86,6.190315406,0.610961366,2.3548
39035101102,1970,158,7.926963545,0.0119372,4.364597577
39035101102,1980,38,7.212294469,0.049991751,5.151519992
39035101102,1990,240,6.91274282,0.240428071,4.279420787
39035101102,2000,189,7.038783541,0.399681539,4.019737452
39035101102,2010,213,7.23417718,0.689768977,1.4595
39035101200,1970,79,7.23489842,0.030421435,3.896826981
39035101200,1980,16,7.21964204,0.027390391,6.631532815
39035101200,1990,90,7.564238475,0.231797728,5.667251544
39035101200,2000,190,7.771067086,0.336695182,5.395061175
39035101200,2010,397,7.69211334,0.892437845,2.1486
39035101300,1970,51,7.142036575,0.017944535,4.281522473
39035101300,1980,50,7.742835955,0.044275939,5.502669351
39035101300,1990,153,7.198183577,0.557366146,3.17987014
39035101300,2000,163,7.195937226,0.659625213,3.622425092
39035101300,2010,157,7.588829878,0.834482759,1.9966
39035101400,1970,34,6.927557906,0.000682128,5.138888512
39035101400,1980,58,7.888334501,0.023488627,5.531244544
39035101400,1990,61,7.307202315,0.245923913,5.590737388
39035101400,2000,79,7.347299701,0.404290421,5.187755499
39035101400,2010,197,7.818832444,0.16170294,4.7982
39035101501,1970,48,7.094234846,0.011571446,5.004355754
39035101501,1980,35,7.65396918,0.025340374,5.827294161
39035101501,1990,96,7.398786275,0.179458165,5.650861234
39035101501,2000,110,7.54802897,0.232275893,5.437879304
39035101501,2010,146,6.837332815,0.823730469,2.5
39035101603,1970,44,7.031741259,0.009629132,4.832769917
39035101603,1980,30,7.428927195,0.10685436,5.020074255
39035101603,1990,62,6.949856455,0.179437707,5.651064753
39035101603,2000,71,7.100027167,0.232266033,5.437991984
39035101603,2010,202,7.538494999,0.977175141,1.8569
39035101700,1970,52,7.17472431,0.02106146,4.59122445
39035101700,1980,22,7.210079628,0.064430912,6.123278012
39035101700,1990,53,6.853299093,0.186678208,5.463668328
39035101700,2000,98,7.595889918,0.333597698,5.182146363
39035101700,2010,224,7.528331767,0.984064615,1.2922
39035101800,1970,72,7.347943823,0.011688214,4.170686099
39035101800,1980,31,7.707512195,0.21311368,3.90988889
39035101800,1990,120,7.669028289,0.18737488,5.465750517
39035101800,2000,171,7.573017256,0.277454326,4.891273596
39035101800,2010,236,7.496097345,0.399951136,4.0787
39035101901,1970,60,6.951772164,0.011396739,4.804419461
39035101901,1980,9,7.22620901,0.022101834,7.885673781
39035101901,1990,119,6.898714534,0.608603836,2.40429461
39035101901,2000,109,6.902742737,0.575475576,3.008241405
39035101901,2010,271,7.871311203,0.180777294,4.3787
39035102101,1970,22,7.134890852,0.006518558,5.084761198
39035102101,1980,10,7.07834158,0.031955365,11.52415635
39035102101,1990,95,6.777646594,0.67528398,2.621841877
39035102101,2000,131,6.913737351,0.696565657,2.979046283
39035102101,2010,397,8.026496939,0.116453145,4.7184
39035102102,1970,27,7.327780538,0.006517503,5.085221438
39035102102,1980,8,7.208600338,0.029634893,9.413330285
39035102102,1990,86,7.31521839,0.706539399,3.491961562
39035102102,2000,85,7.252053952,0.856597846,2.799832472
39035102102,2010,372,7.964503364,0.210399033,3.6066
39035102200,1970,28,7.167037877,0.005453825,5.619068758
39035102200,1980,18,6.994849986,0.068085538,6.563223342
39035102200,1990,276,7.648263031,0.96984098,1.129596003
39035102200,2000,261,7.443078374,0.983087184,1.634513371
39035102200,2010,230,7.622174595,0.625568969,2.623
39035102300,1970,21,6.830874235,0.006189821,5.283623027
39035102300,1980,15,7.464509835,0.324766762,6.829509822
39035102300,1990,173,7.577633833,0.948894258,1.429768396
39035102300,2000,190,7.448333861,0.953530341,1.40476151
39035102300,2010,453,7.955775782,0.511327404,3.4459
39035102401,1970,33,7.042286172,0.004027543,5.262350338
39035102401,1980,22,7.304515946,0.046275892,5.653589102
39035102401,1990,88,7.28276118,0.089412694,5.448145573
39035102401,2000,114,7.378383713,0.263940529,4.945614385
39035102401,2010,228,7.785720897,0.159807129,4.7803
39035102402,1970,39,7.183111702,0.004237809,5.248241211
39035102402,1980,14,7.197435354,0.040926422,7.298111885
39035102402,1990,99,7.396948603,0.089412694,5.448145429
39035102402,2000,127,7.492760301,0.263940513,4.945614158
39035102402,2010,240,7.070724107,0.347171347,4.8463
